country,bond_name,year,status,rows,from_date,to_date,error
australia,Australia 8Y,2000,ok,228,01/01/2000,31/12/2000,
australia,Australia 8Y,2001,ok,228,01/01/2001,31/12/2001,
australia,Australia 8Y,2002,ok,118,01/01/2002,31/12/2002,
australia,Australia 8Y,2003,failed,0,01/01/2003,31/12/2003,"Failed to download Australia 8Y from 01/01/2003 to 31/12/2003 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2004,failed,0,01/01/2004,31/12/2004,"Failed to download Australia 8Y from 01/01/2004 to 31/12/2004 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2005,failed,0,01/01/2005,31/12/2005,"Failed to download Australia 8Y from 01/01/2005 to 31/12/2005 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2006,failed,0,01/01/2006,31/12/2006,Failed to download Australia 8Y from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0069: bond information unavailable or not found.
australia,Australia 8Y,2007,failed,0,01/01/2007,31/12/2007,"Failed to download Australia 8Y from 01/01/2007 to 31/12/2007 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2008,failed,0,01/01/2008,31/12/2008,"Failed to download Australia 8Y from 01/01/2008 to 31/12/2008 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2009,failed,0,01/01/2009,31/12/2009,"Failed to download Australia 8Y from 01/01/2009 to 31/12/2009 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2010,failed,0,01/01/2010,31/12/2010,"Failed to download Australia 8Y from 01/01/2010 to 31/12/2010 after 60 attempts: ERR#0015: error 403, try again later."
australia,Australia 8Y,2011,ok,187,01/01/2011,31/12/2011,
australia,Australia 8Y,2012,ok,337,01/01/2012,31/12/2012,
australia,Australia 8Y,2013,ok,344,01/01/2013,31/12/2013,
australia,Australia 8Y,2014,ok,347,01/01/2014,31/12/2014,
australia,Australia 8Y,2015,ok,364,01/01/2015,31/12/2015,
australia,Australia 8Y,2016,ok,364,01/01/2016,31/12/2016,
australia,Australia 8Y,2017,ok,357,01/01/2017,31/12/2017,
australia,Australia 8Y,2018,ok,351,01/01/2018,31/12/2018,
australia,Australia 8Y,2019,ok,363,01/01/2019,31/12/2019,
australia,Australia 8Y,2020,ok,311,01/01/2020,31/12/2020,
australia,Australia 8Y,2021,ok,337,01/01/2021,31/12/2021,
australia,Australia 8Y,2022,ok,335,01/01/2022,31/12/2022,
australia,Australia 8Y,2023,ok,336,01/01/2023,31/12/2023,
australia,Australia 8Y,2024,ok,291,01/01/2024,31/12/2024,
australia,Australia 8Y,2025,ok,255,01/01/2025,31/12/2025,
australia,Australia 8Y,2026,ok,46,01/01/2026,08/03/2026,
