country,status,bond_count,preview
united states,ok,10,"U.S. 30Y, U.S. 10Y, U.S. 7Y, U.S. 5Y, U.S. 3Y, U.S. 3M, U.S. 1Y, U.S. 6M, U.S. 1M, U.S. 2Y"
japan,ok,18,"Japan 7Y, Japan 30Y, Japan 20Y, Japan 15Y, Japan 10Y, Japan 9Y, Japan 8Y, Japan 6Y, Japan 40Y, Japan 4Y, Japan 3Y, Japan 2Y, Japan 1Y, Japan 9M, Japan 6M, Japan 3M, Japan 1M, Japan 5Y"
germany,ok,17,"Germany 10Y, Germany 9Y, Germany 15Y, Germany 8Y, Germany 25Y, Germany 30Y, Germany 20Y, Germany 7Y, Germany 1Y, Germany 5Y, Germany 4Y, Germany 3Y, Germany 2Y, Germany 6Y, Germany 9M, Germany 6M, Germany 3M"
united kingdom,ok,20,"U.K. 40Y, U.K. 50Y, U.K. 30Y, U.K. 25Y, U.K. 15Y, U.K. 12Y, U.K. 10Y, U.K. 9Y, U.K. 8Y, U.K. 20Y, U.K. 6Y, U.K. 5Y, U.K. 4Y, U.K. 3Y, U.K. 2Y, U.K. 1Y, U.K. 6M, U.K. 3M, U.K. 1M, U.K. 7Y"
canada,ok,13,"Canada 5Y, Canada 30Y, Canada 20Y, Canada 10Y, Canada 7Y, Canada 4Y, Canada 2Y, Canada 3Y, Canada 1Y, Canada 6M, Canada 3M, Canada 2M, Canada 1M"
australia,ok,14,"Australia 30Y, Australia 20Y, Australia 15Y, Australia 12Y, Australia 10Y, Australia 8Y, Australia 9Y, Australia 6Y, Australia 5Y, Australia 4Y, Australia 3Y, Australia 2Y, Australia 1Y, Australia 7Y"
new zealand,ok,13,"New Zealand 5Y, New Zealand 20Y, New Zealand 15Y, New Zealand 10Y, New Zealand 7Y, New Zealand 2Y, New Zealand 1M, New Zealand 6M, New Zealand 5M, New Zealand 4M, New Zealand 3M, New Zealand 2M, New Zealand 1Y"
switzerland,ok,20,"Switzerland 6Y, Switzerland 30Y, Switzerland 20Y, Switzerland 15Y, Switzerland 10Y, Switzerland 50Y, Switzerland 9Y, Switzerland 8Y, Switzerland 7Y, Switzerland 5Y, Switzerland 3M, Switzerland 3Y, Switzerland Overnight, Switzerland 1W, Switzerland 1M, Switzerland 4Y, Switzerland 6M, Switzerland 1Y, Switzerland 2Y, Switzerland 2M"
norway,ok,7,"Norway 5Y, Norway 10Y, Norway 1Y, Norway 2Y, Norway 9M, Norway 6M, Norway 3M"
sweden,ok,0,
china,ok,9,"China 10Y, China 20Y, China 15Y, China 7Y, China 30Y, China 3Y, China 2Y, China 1Y, China 5Y"
south korea,ok,9,"South Korea 20Y, South Korea 50Y, South Korea 30Y, South Korea 10Y, South Korea 5Y, South Korea 4Y, South Korea 3Y, South Korea 2Y, South Korea 1Y"
india,ok,20,"India 10Y, India 30Y, India 24Y, India 19Y, India 15Y, India 14Y, India 13Y, India 12Y, India 11Y, India 9Y, India 4Y, India 7Y, India 6Y, India 5Y, India 3Y, India 2Y, India 1Y, India 6M, India 3M, India 8Y"
indonesia,ok,11,"Indonesia 30Y, Indonesia 20Y, Indonesia 15Y, Indonesia 10Y, Indonesia 5Y, Indonesia 25Y, Indonesia 1Y, Indonesia 6M, Indonesia 3M, Indonesia 1M, Indonesia 3Y"
malaysia,ok,11,"Malaysia 30Y, Malaysia 20Y, Malaysia 15Y, Malaysia 10Y, Malaysia 7Y, Malaysia 1Y, Malaysia 3Y, Malaysia 7M, Malaysia 3M, Malaysia 3W, Malaysia 5Y"
philippines,ok,12,"Philippines 7Y, Philippines 25Y, Philippines 20Y, Philippines 10Y, Philippines 5Y, Philippines 4Y, Philippines 2Y, Philippines 1Y, Philippines 6M, Philippines 3M, Philippines 1M, Philippines 3Y"
thailand,ok,11,"Thailand 20Y, Thailand 16Y, Thailand 15Y, Thailand 12Y, Thailand 14Y, Thailand 10Y, Thailand 5Y, Thailand 3Y, Thailand 2Y, Thailand 1Y, Thailand 7Y"
taiwan,ok,5,"Taiwan 2Y, Taiwan 5Y, Taiwan 10Y, Taiwan 20Y, Taiwan 30Y"
